Project,Package,Module,Class,Method,LOC,CC,PC
flask_app,flask_app,auth,,require_auth,22,-1,1
flask_app,flask_app,booking,,generate_pickup_code,3,1,0
flask_app,flask_app,booking,,generate_unique_pickup_code,7,3,1
flask_app,flask_app,booking,,calculate_total_price,6,3,3
flask_app,flask_app,booking,,get_availability_status,7,1,1
flask_app,flask_app,booking,,get_ticket_id_from_token,33,2,0
flask_app,flask_app,booking,,get_user_bookings,102,5,2
flask_app,flask_app,booking,,create_booking,176,4,5
flask_app,flask_app,booking,,cancel_booking,92,2,2
flask_app,flask_app,booking,,expire_old_bookings,58,4,0
flask_app,flask_app,booking,,list_bookings,17,2,0
flask_app,flask_app,booking,,create_booking_route,35,5,0
flask_app,flask_app,booking,,cancel_booking_route,20,5,1
flask_app,flask_app,app,,get_db_connection,9,1,0
flask_app,flask_app,app,,send_notification,21,2,0
flask_app,flask_app,app,,home,2,1,0
flask_app,flask_app,app,,check_empty,8,2,1
flask_app,flask_app,app,,check_db_for_ticket,14,1,2
flask_app,flask_app,app,,create_token,7,1,2
flask_app,flask_app,app,,login,11,1,0
flask_app,flask_app,app,,protected_test,2,1,0
flask_app,flask_app,app,,get_flights,3,1,0
flask_app,flask_app,app,,get_all_flights,67,5,0
flask_app,flask_app,app,,get_flight_details,5,1,1
flask_app,flask_app,app,,get_flight_by_id,20,1,1
flask_app,flask_app,app,,arrivals,3,1,0
flask_app,flask_app,app,,departures,3,1,0
flask_app,flask_app,app,,get_arrivals,61,3,0
flask_app,flask_app,app,,get_departures,57,3,0
flask_app,flask_app,app,,subscribe,9,3,0
flask_app,flask_app,app,,save_subscription,12,1,3
flask_app,flask_app,shop,,get_shops,191,27,5
flask_app,flask_app,shop,,get_shop_by_id,101,10,1
flask_app,flask_app,shop,,get_shop_hours,70,3,1
flask_app,flask_app,shop,,get_shop_categories,24,1,0
flask_app,flask_app,shop,,get_shop_catalog,70,4,2
flask_app,flask_app,shop,,get_shop_items,113,11,7
flask_app,flask_app,shop,,get_item_by_id,59,2,1
flask_app,flask_app,shop,,get_shop_item_categories,51,2,1
flask_app,flask_app,shop,,list_shops,16,2,0
flask_app,flask_app,shop,,get_shop_details,5,1,1
flask_app,flask_app,shop,,get_shop_hours_route,5,1,1
flask_app,flask_app,shop,,list_shop_categories,3,1,0
flask_app,flask_app,shop,,get_shop_catalog_route,7,1,1
flask_app,flask_app,shop,,list_shop_items,39,9,1
flask_app,flask_app,shop,,get_item_details,5,1,1
flask_app,flask_app,shop,,list_shop_item_categories,5,1,1
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_generate_pickup_code_length,4,1,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_generate_pickup_code_alphanumeric,6,3,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_calculate_total_price_base_only,6,1,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_calculate_total_price_with_variants,13,1,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_calculate_total_price_empty_variants,5,1,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_get_availability_status_in_stock,4,1,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_get_availability_status_low_stock,5,1,0
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,test_get_availability_status_out_of_stock,4,1,0
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,test_get_bookings_requires_user_id,4,1,1
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,test_get_bookings_invalid_user_id,4,1,1
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,test_get_bookings_success,25,1,2
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,test_get_bookings_filter_by_status,14,1,2
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,test_create_booking_requires_body,3,1,1
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,test_create_booking_requires_user_id,7,1,1
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,test_create_booking_requires_item_and_shop,7,1,1
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,test_create_booking_success,28,1,2
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,test_create_booking_invalid_quantity,19,1,2
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,test_create_booking_out_of_stock,19,1,2
