Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,auth,,Empty catch block,require_auth,34,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Empty catch block found in require_auth.
flask_app,flask_app,auth,,Empty catch block,require_auth,36,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Empty catch block found in require_auth.
flask_app,flask_app,auth,,Long statement,require_auth,10,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,A line with 358 chars in require_auth exceeds the maximum length of 120 characters.
flask_app,flask_app,constants,,Long statement,,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/constants.py,A line with 310 chars in constants exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Empty catch block,get_ticket_id_from_token,124,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Empty catch block found in get_ticket_id_from_token.
flask_app,flask_app,booking,,Empty catch block,get_ticket_id_from_token,126,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Empty catch block found in get_ticket_id_from_token.
flask_app,flask_app,booking,,Empty catch block,list_bookings,587,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Empty catch block found in list_bookings.
flask_app,flask_app,booking,,Long method,get_user_bookings,132 - 234,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Method 'get_user_bookings' is too long (102 lines).
flask_app,flask_app,booking,,Long method,create_booking,237 - 413,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Method 'create_booking' is too long (176 lines).
flask_app,flask_app,booking,,Long method,cancel_booking,416 - 508,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Method 'cancel_booking' is too long (92 lines).
flask_app,flask_app,booking,,Long statement,get_user_bookings,138,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 977 chars in get_user_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,246,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 144 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,254,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 193 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,280,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 132 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,308,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 144 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,317,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 133 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,327,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 121 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,348,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 386 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,364,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 129 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,374,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 694 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,cancel_booking,424,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 179 chars in cancel_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,cancel_booking,465,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 168 chars in cancel_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,cancel_booking,472,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 160 chars in cancel_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,cancel_booking,494,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 142 chars in cancel_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,expire_old_bookings,520,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 183 chars in expire_old_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,expire_old_bookings,531,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 150 chars in expire_old_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,expire_old_bookings,538,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 176 chars in expire_old_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking_route,629,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 132 chars in create_booking_route exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 146 chars in booking exceeds the maximum length of 120 characters.
flask_app,flask_app,test_db_connection,,Long statement,,18,/Users/jashwanthnaidu/ASDC project/group01/flask_app/test_db_connection.py,A line with 239 chars in test_db_connection exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long method,get_all_flights,196 - 266,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Method 'get_all_flights' is too long (67 lines).
flask_app,flask_app,app,,Long statement,get_db_connection,82,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 261 chars in get_db_connection exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,check_db_for_ticket,143,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 180 chars in check_db_for_ticket exceeds the maximum length of 120 characters.
