Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
flask_app,flask_app,auth,,22,-1,1,1,0,0,0,1,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py
flask_app,flask_app,app2,,0,0,0,0,0,0,-1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app2.py
flask_app,flask_app,booking,,529,35,12,12,0,0,0,0,1,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py
flask_app,flask_app,test_db_connection,,0,0,0,0,5,5,-1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/test_db_connection.py
flask_app,flask_app,app,,293,30,18,18,6,6,0.17,5,3,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py
flask_app,flask_app,__init__ ,,0,0,0,0,2,2,-1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/__init__ .py
flask_app,flask_app,shop,,788,94,16,16,1,1,0.44,0,1,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py
flask_app,flask_app.tests,test_bookings,,238,27,0,0,0,0,-1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,37,10,8,8,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,44,4,4,4,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,105,8,8,8,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py
flask_app,flask_app.tests,test_bookings,TestCancelBookingAPI,52,5,5,5,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py
flask_app,flask_app.tests,test_flights,,12,1,1,1,0,0,0,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_flights.py
flask_app,flask_app.tests,conftest,,3,1,1,1,1,1,0,0,1,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/conftest.py
flask_app,flask_app.tests,test_shopping_component,,377,23,0,0,0,0,-1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestProductImages,44,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestProductVariants,97,4,4,4,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestStockQuantity,41,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestHalifaxTimezone,33,3,3,3,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestTimeParsing,36,5,5,5,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestShopStatusText,96,4,4,4,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_shopping_component,TestBookingWithVariants,30,3,3,3,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py
flask_app,flask_app.tests,test_login,,54,9,9,9,0,0,0.78,0,1,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_login.py
flask_app,flask_app.tests,test_arrivals_departures,,24,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_arrivals_departures.py
flask_app,flask_app.tests,test_flight_details,,16,1,1,1,0,0,0,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_flight_details.py
flask_app,flask_app.tests,test_subscribe,,17,2,2,2,0,0,1,0,1,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_subscribe.py
flask_app,flask_app.tests,test_shops,,651,43,43,43,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shops.py
flask_app,flask_app.tests,test_integration,,484,52,0,0,0,0,-1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestGetShops,108,10,10,10,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestGetShopById,30,3,3,3,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestShopHours,25,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestShopCategories,19,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestShopCatalog,27,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestShopItems,51,4,4,4,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestItemById,35,3,3,3,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestItemCategories,19,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestPickupCodes,20,6,4,4,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestGetBookings,27,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestCreateBooking,32,3,3,3,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestCancelBooking,40,4,4,4,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
flask_app,flask_app.tests,test_integration,TestExpireBookings,19,2,2,2,0,0,1,0,0,0,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py
