Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,auth,,Empty catch block,require_auth,32,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Empty catch block found in require_auth.
flask_app,flask_app,auth,,Empty catch block,require_auth,34,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Empty catch block found in require_auth.
flask_app,flask_app,auth,,Long statement,require_auth,8,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,A line with 358 chars in require_auth exceeds the maximum length of 120 characters.
flask_app,flask_app,auth,,Magic number,require_auth,26,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Magic number 401 used in require_auth.
flask_app,flask_app,auth,,Magic number,require_auth,33,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Magic number 401 used in require_auth.
flask_app,flask_app,auth,,Magic number,require_auth,35,/Users/jashwanthnaidu/ASDC project/group01/flask_app/auth.py,Magic number 401 used in require_auth.
flask_app,flask_app,booking,,Empty catch block,get_ticket_id_from_token,81,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Empty catch block found in get_ticket_id_from_token.
flask_app,flask_app,booking,,Empty catch block,get_ticket_id_from_token,83,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Empty catch block found in get_ticket_id_from_token.
flask_app,flask_app,booking,,Empty catch block,list_bookings,524,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Empty catch block found in list_bookings.
flask_app,flask_app,booking,,Long method,get_user_bookings,89 - 175,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Method 'get_user_bookings' is too long (86 lines).
flask_app,flask_app,booking,,Long method,create_booking,178 - 342,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Method 'create_booking' is too long (164 lines).
flask_app,flask_app,booking,,Long method,cancel_booking,345 - 452,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Method 'cancel_booking' is too long (107 lines).
flask_app,flask_app,booking,,Long statement,get_user_bookings,95,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 1030 chars in get_user_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,get_user_bookings,137,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 808 chars in get_user_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,194,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 152 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,238,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 144 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,256,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 121 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,277,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 386 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,293,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 129 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking,303,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 694 chars in create_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,cancel_booking,422,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 129 chars in cancel_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,cancel_booking,431,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 293 chars in cancel_booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,expire_old_bookings,463,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 142 chars in expire_old_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,expire_old_bookings,487,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 129 chars in expire_old_bookings exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,create_booking_route,563,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 132 chars in create_booking_route exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Long statement,,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,A line with 146 chars in booking exceeds the maximum length of 120 characters.
flask_app,flask_app,booking,,Magic number,get_availability_status,45,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 5 used in get_availability_status.
flask_app,flask_app,booking,,Magic number,create_booking,186,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 3 used in create_booking.
flask_app,flask_app,booking,,Magic number,list_bookings,531,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 200 used in list_bookings.
flask_app,flask_app,booking,,Magic number,list_bookings,533,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 500 used in list_bookings.
flask_app,flask_app,booking,,Magic number,list_bookings,521,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 401 used in list_bookings.
flask_app,flask_app,booking,,Magic number,list_bookings,525,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 400 used in list_bookings.
flask_app,flask_app,booking,,Magic number,create_booking_route,574,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 400 used in create_booking_route.
flask_app,flask_app,booking,,Magic number,create_booking_route,553,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 400 used in create_booking_route.
flask_app,flask_app,booking,,Magic number,create_booking_route,561,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 400 used in create_booking_route.
flask_app,flask_app,booking,,Magic number,create_booking_route,572,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 201 used in create_booking_route.
flask_app,flask_app,booking,,Magic number,create_booking_route,576,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 404 used in create_booking_route.
flask_app,flask_app,booking,,Magic number,create_booking_route,547,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 401 used in create_booking_route.
flask_app,flask_app,booking,,Magic number,cancel_booking_route,599,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 400 used in cancel_booking_route.
flask_app,flask_app,booking,,Magic number,cancel_booking_route,597,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 200 used in cancel_booking_route.
flask_app,flask_app,booking,,Magic number,cancel_booking_route,601,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 404 used in cancel_booking_route.
flask_app,flask_app,booking,,Magic number,cancel_booking_route,591,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 401 used in cancel_booking_route.
flask_app,flask_app,booking,,Magic number,cancel_booking_route,603,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Magic number 403 used in cancel_booking_route.
flask_app,flask_app,test_db_connection,,Long statement,,18,/Users/jashwanthnaidu/ASDC project/group01/flask_app/test_db_connection.py,A line with 239 chars in test_db_connection exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_db_connection,38,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 236 chars in get_db_connection exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,check_db_for_ticket,91,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 180 chars in check_db_for_ticket exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_all_flights,150,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 762 chars in get_all_flights exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_all_flights,192,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 343 chars in get_all_flights exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_flight_by_id,221,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 127 chars in get_flight_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_arrivals,256,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 816 chars in get_arrivals exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_arrivals,294,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 381 chars in get_arrivals exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_departures,316,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 798 chars in get_departures exceeds the maximum length of 120 characters.
flask_app,flask_app,app,,Long statement,get_departures,353,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,A line with 355 chars in get_departures exceeds the maximum length of 120 characters.
